Ready Processes,Processes in CPU,Blocked processes,Completed processes,Accounted For, Number of CPUs,Exiting at simulation time
337, 2, 0, 94,433, 2, 10000
339, 2, 0, 109,450, 2, 10000
341, 2, 0, 95,438, 2, 10000
385, 2, 0, 89,476, 2, 10000
387, 2, 0, 90,479, 2, 10000
369, 2, 0, 85,456, 2, 10000
301, 2, 0, 87,390, 2, 10000
349, 2, 0, 90,441, 2, 10000
361, 2, 0, 80,443, 2, 10000
346, 2, 0, 94,442, 2, 10000
331, 2, 0, 89,422, 2, 10000
380, 2, 0, 93,475, 2, 10000
364, 2, 0, 100,466, 2, 10000
333, 2, 0, 98,433, 2, 10000
346, 2, 0, 71,419, 2, 10000
338, 2, 0, 83,423, 2, 10000
332, 2, 0, 103,437, 2, 10000
353, 2, 0, 82,437, 2, 10000
305, 2, 0, 87,394, 2, 10000
335, 2, 0, 83,420, 2, 10000
308, 2, 0, 105,415, 2, 10000
335, 2, 0, 73,410, 2, 10000
322, 2, 0, 98,422, 2, 10000
300, 2, 0, 73,375, 2, 10000
329, 2, 0, 98,429, 2, 10000
337, 2, 0, 73,412, 2, 10000
325, 2, 0, 73,400, 2, 10000
312, 2, 0, 90,404, 2, 10000
319, 2, 0, 82,403, 2, 10000
296, 2, 0, 90,388, 2, 10000
321, 2, 0, 73,396, 2, 10000
329, 2, 0, 80,411, 2, 10000
294, 2, 0, 80,376, 2, 10000
340, 2, 0, 75,417, 2, 10000
309, 2, 0, 86,397, 2, 10000
345, 2, 0, 76,423, 2, 10000
305, 2, 0, 88,395, 2, 10000
322, 2, 0, 71,395, 2, 10000
293, 2, 0, 85,380, 2, 10000
314, 2, 0, 83,399, 2, 10000
309, 2, 0, 97,408, 2, 10000
312, 2, 0, 86,400, 2, 10000
312, 2, 0, 70,384, 2, 10000
326, 2, 0, 90,418, 2, 10000
300, 2, 0, 92,394, 2, 10000
313, 2, 0, 74,389, 2, 10000
310, 2, 0, 70,382, 2, 10000
313, 2, 0, 74,389, 2, 10000
306, 2, 0, 82,390, 2, 10000
317, 2, 0, 76,395, 2, 10000
272, 2, 0, 76,350, 2, 10000
276, 2, 0, 74,352, 2, 10000
298, 2, 0, 70,370, 2, 10000
296, 2, 0, 75,373, 2, 10000
251, 2, 0, 80,333, 2, 10000
321, 2, 0, 78,401, 2, 10000
283, 2, 0, 84,369, 2, 10000
279, 2, 0, 86,367, 2, 10000
263, 2, 0, 75,340, 2, 10000
290, 2, 0, 60,352, 2, 10000
290, 2, 0, 63,355, 2, 10000
287, 2, 0, 77,366, 2, 10000
285, 2, 0, 62,349, 2, 10000
278, 2, 0, 80,360, 2, 10000
294, 2, 0, 65,361, 2, 10000
259, 2, 0, 79,340, 2, 10000
270, 2, 0, 55,327, 2, 10000
271, 2, 0, 74,347, 2, 10000
255, 2, 0, 70,327, 2, 10000
274, 2, 0, 57,333, 2, 10000
261, 2, 0, 62,325, 2, 10000
279, 2, 0, 78,359, 2, 10000
284, 2, 0, 81,367, 2, 10000
288, 2, 0, 79,369, 2, 10000
240, 2, 0, 73,315, 2, 10000
266, 2, 0, 71,339, 2, 10000
265, 2, 0, 81,348, 2, 10000
253, 2, 0, 66,321, 2, 10000
275, 2, 0, 74,351, 2, 10000
270, 2, 0, 56,328, 2, 10000
235, 2, 0, 69,306, 2, 10000
273, 2, 0, 82,357, 2, 10000
255, 2, 0, 68,325, 2, 10000
251, 2, 0, 67,320, 2, 10000
277, 2, 0, 73,352, 2, 10000
274, 2, 0, 75,351, 2, 10000
270, 2, 0, 53,325, 2, 10000
284, 2, 0, 66,352, 2, 10000
280, 2, 0, 65,347, 2, 10000
222, 2, 0, 65,289, 2, 10000
262, 2, 0, 53,317, 2, 10000
279, 2, 0, 89,370, 2, 10000
232, 2, 0, 68,302, 2, 10000
277, 2, 0, 72,351, 2, 10000
241, 2, 0, 55,298, 2, 10000
236, 2, 0, 76,314, 2, 10000
249, 2, 0, 67,318, 2, 10000
248, 2, 0, 68,318, 2, 10000
246, 2, 0, 80,328, 2, 10000
247, 2, 0, 60,309, 2, 10000
241, 2, 0, 71,314, 2, 10000
242, 2, 0, 52,296, 2, 10000
235, 2, 0, 80,317, 2, 10000
267, 2, 0, 58,327, 2, 10000
240, 2, 0, 68,310, 2, 10000
257, 2, 0, 72,331, 2, 10000
219, 2, 0, 74,295, 2, 10000
240, 2, 0, 52,294, 2, 10000
231, 2, 0, 81,314, 2, 10000
221, 2, 0, 64,287, 2, 10000
239, 2, 0, 55,296, 2, 10000
226, 2, 0, 70,298, 2, 10000
217, 2, 0, 83,302, 2, 10000
225, 2, 0, 75,302, 2, 10000
220, 2, 0, 60,282, 2, 10000
232, 2, 0, 63,297, 2, 10000
218, 2, 0, 65,285, 2, 10000
